Name,Component,Video URL,Image URL,Bilateral,Instruction,Coordination,Muscle,Region,Equipment,Coefficient,Diagnosis,Endurance Option,Loading Side,Location,Method,Movement Direction,Pattern,Prescription,Priority,Sport Task
Half Squat - TB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Squat%20-%20Trapbar_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_922bdf1f-3e1d-4bea-a4c6-932b7b5ca2a6.png,FALSE,,FALSE,frontalis,core,cardio:cardio-treadmill,0.1,main,,unilat,loc-gym,methodA,lin,pattA,elbil,main,a
Back Squat & Shoulder Press,concentric,https://iamaspire.aspire.qa/ExerciseVideo/09-Oct-2023_2169d543-5343-4e8b-928e-d339b6d78d5a.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_8b5a23bc-e231-4d2c-bc2c-12568bbb6cdd.png,FALSE,,FALSE,orbicularis_oculi,upper,strength-training:barbells,0.2,sup,,bilat,loc-pitch,methodB,lat,pattB,eluni,sup,b
Spooky Squat - DI,concentric,https://iamaspire.aspire.qa/ExerciseVideo/02-Oct-2023_eea213a9-0778-4be2-b66f-07cd7161ea50.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_e24533f8-5da2-41d5-9768-a103d590ca06.png,FALSE,,FALSE,masseter,lower,strength-training:barbells:olympic-barbell,0.3,as,,quad,loc-home,methodC,lin,pattC,inebil,as,c
Arm Curl - DB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Arm%20Curl%20-%20DB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_f6c384d8-7ffd-4cca-a46f-1d2a8d337451.png,FALSE,,FALSE,temporalis,core,cardio:cardio-treadmill,0.1,main,,mono,loc-gym,methodA,lat,pattA,ineuni,main,a
Tuck Jumps,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Tuck%20Jumps_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_acd5c4e5-8e65-4419-a077-fec71589b9b6.png,FALSE,,FALSE,platysma,upper,strength-training:barbells,0.2,sup,,bipedal,loc-pitch,methodB,lin,pattB,elbil,sup,b
Triceps Bench Dips,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Triceps%20Bench%20Dips_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_255a2a06-5207-4bf9-9384-027289f2d47f.png,FALSE,,FALSE,pectoralis_major,lower,strength-training:barbells:olympic-barbell,0.3,as,,unilat,loc-home,methodC,lat,pattC,eluni,as,c
Triceps Dips,concentric,https://iamaspire.aspire.qa/ExerciseVideo/09-Oct-2023_c4441179-3ce1-46e7-a7be-94005e85f7b3.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_06b1f44e-a695-4fc2-abb3-dfca0dd06b64.png,FALSE,,FALSE,frontalis,core,cardio:cardio-treadmill,0.28,main,,bilat,loc-gym,methodA,lin,pattA,inebil,main,a
Torsional Backward Throw - MB,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Torsional%20Backward%20Throw%20-%20MB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_b043a448-3e23-454d-99f3-2d67f0bdfdc9.png,FALSE,,FALSE,orbicularis_oculi,upper,strength-training:barbells,0.302857143,sup,,quad,loc-pitch,methodB,lat,pattB,ineuni,sup,b
Torsion - SB FW,concentric,https://iamaspire.aspire.qa/ExerciseVideo/FW%20Standing%20Torsion%20-%20SB_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_c2b5a33a-05c3-4fb5-8ec2-03929a8b4432.png,FALSE,,FALSE,masseter,lower,strength-training:barbells:olympic-barbell,0.325714286,as,,mono,loc-home,methodC,lin,pattC,elbil,as,c
Standing Disc Press,concentric,https://iamaspire.aspire.qa/ExerciseVideo/Standing%20Disc%20Press_960x540_2250.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_c0b96be0-b845-4ef3-a7d5-df49983c212a.png,FALSE,,FALSE,temporalis,core,cardio:cardio-treadmill,0.348571429,main,,bipedal,loc-gym,methodA,lat,pattA,eluni,main,a
