epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2721,1.09131,9.45682,0,0.76761,1.09687,0.94901,0.97652,0.98452,0.84819,0.33227,0.30203,0.17838,0.02678,0.60213,6.21002,0,0.44375,0.8537,0.00332623,0.00332623,0.00332623
2,189.676,0.83446,6.10157,0,0.59537,0.97872,0.95586,0.97078,0.98776,0.86445,0.73059,0.71825,0.62739,0.15471,0.54376,4.01895,0,0.43434,0.84118,0.00662659,0.00662659,0.00662659
3,277.5,0.87813,4.90619,0,0.62328,0.9965,0.93631,0.9728,0.98056,0.83963,0.837,0.80043,0.75625,0.27054,0.61635,3.37548,0,0.47511,0.85908,0.00989396,0.00989396,0.00989396
4,364.82,0.89136,4.10611,0,0.63714,1.0058,0.94014,0.98506,0.98115,0.85123,0.90564,0.90142,0.90707,0.43931,0.58804,2.56761,0,0.46418,0.85848,0.0098515,0.0098515,0.0098515
5,452.06,0.85549,3.49874,0,0.61559,0.99207,0.95535,0.97972,0.9822,0.85935,0.92932,0.9285,0.93546,0.55138,0.56125,2.06979,0,0.43786,0.85902,0.009802,0.009802,0.009802
6,538.142,0.83588,3.17677,0,0.59972,0.98661,0.96726,0.97118,0.98295,0.8633,0.94075,0.93276,0.94447,0.58541,0.53763,1.83698,0,0.41618,0.85662,0.0097525,0.0097525,0.0097525
7,626.46,0.8002,2.95834,0,0.57482,0.9776,0.96508,0.97346,0.9858,0.87747,0.94259,0.94771,0.95695,0.61696,0.51232,1.68254,0,0.39232,0.85004,0.009703,0.009703,0.009703
8,713.09,0.78242,2.75938,0,0.55645,0.97393,0.96778,0.97332,0.98622,0.89179,0.94794,0.9413,0.96124,0.6616,0.50927,1.59598,0,0.37907,0.84352,0.0096535,0.0096535,0.0096535
9,802.519,0.76385,2.65164,0,0.54916,0.96739,0.97317,0.96792,0.985,0.88432,0.95061,0.94496,0.95397,0.66554,0.49717,1.48454,0,0.38979,0.8464,0.009604,0.009604,0.009604
10,889.647,0.74564,2.54091,0,0.53553,0.96285,0.97023,0.97332,0.9889,0.90413,0.95155,0.95411,0.96361,0.69688,0.46311,1.38468,0,0.35286,0.8384,0.0095545,0.0095545,0.0095545
11,984.18,0.72877,2.41841,0,0.52377,0.95934,0.95712,0.99253,0.98869,0.91008,0.94763,0.96551,0.97191,0.71741,0.45998,1.35202,0,0.35328,0.83639,0.009505,0.009505,0.009505
12,1071.84,0.71282,2.33821,0,0.51493,0.95225,0.9574,0.98348,0.99014,0.90543,0.95188,0.9413,0.96555,0.709,0.45655,1.33872,0,0.36124,0.8336,0.0094555,0.0094555,0.0094555
13,1158.03,0.69808,2.24487,0,0.50461,0.94679,0.96536,0.98139,0.9903,0.91183,0.94618,0.95197,0.96893,0.7359,0.4456,1.23837,0,0.34201,0.82933,0.009406,0.009406,0.009406
14,1247.92,0.69494,2.22732,0,0.4999,0.9478,0.96529,0.9793,0.99064,0.92098,0.94299,0.94984,0.96566,0.75495,0.41593,1.21843,0,0.32453,0.82721,0.0093565,0.0093565,0.0093565
15,1335.73,0.68705,2.19721,0,0.49142,0.94362,0.96544,0.98186,0.99115,0.91756,0.94181,0.96158,0.97288,0.75574,0.42703,1.19535,0,0.32354,0.82378,0.009307,0.009307,0.009307
16,1422.94,0.66681,2.10936,0,0.48327,0.9353,0.97594,0.97332,0.9927,0.9314,0.9689,0.95624,0.97594,0.76777,0.4072,1.14417,0,0.31856,0.82766,0.0092575,0.0092575,0.0092575
17,1510.06,0.66719,2.09262,0,0.47714,0.93921,0.97362,0.98079,0.99332,0.92788,0.95642,0.96158,0.9765,0.76922,0.40893,1.14432,0,0.30664,0.82381,0.009208,0.009208,0.009208
18,1596.3,0.65721,2.04502,0,0.47222,0.93507,0.97355,0.97652,0.99287,0.93216,0.95504,0.95221,0.97582,0.78548,0.392,1.12833,0,0.30255,0.81948,0.0091585,0.0091585,0.0091585
19,1683.3,0.64955,1.99794,0,0.46141,0.9353,0.97059,0.98608,0.99327,0.93475,0.96368,0.95304,0.97607,0.77925,0.39314,1.0864,0,0.30161,0.82019,0.009109,0.009109,0.009109
20,1771.55,0.64909,1.99798,0,0.4674,0.93249,0.98698,0.97062,0.99368,0.94248,0.97306,0.95518,0.9785,0.80064,0.385,1.06002,0,0.29983,0.81828,0.0090595,0.0090595,0.0090595
21,1857.63,0.63519,1.93962,0,0.45584,0.9293,0.96758,0.98732,0.99223,0.9447,0.95945,0.95624,0.97754,0.80122,0.37189,1.05673,0,0.28409,0.81634,0.00901,0.00901,0.00901
